
qualità dell'aria,405353439582567_368683092123723,post,2022-09-12T07:00:02+0000,positivo
qualità dell'aria,405353439582567_366649712327061,post,2022-09-09T07:00:05+0000,neutrale
sport,405353439582567_366147812377251,post,2022-09-08T12:30:04+0000,neutrale
parco,405353439582567_366147812377251,post,2022-09-08T12:30:04+0000,neutrale
passeggiata,405353439582567_366147812377251,post,2022-09-08T12:30:04+0000,neutrale
qualità dell'aria,405353439582567_365999135725452,post,2022-09-08T07:00:09+0000,neutrale
qualità dell'aria,405353439582567_365338195791546,post,2022-09-07T07:00:12+0000,positivo
qualità dell'aria,405353439582567_364649019193797,post,2022-09-06T07:00:09+0000,negativo
mare,405353439582567_364649019193797,post,2022-09-06T07:00:09+0000,negativo
acqua,364649019193797_596232961969347,sottocommento,2022-09-06T09:54:49+0000,positivo
mare,364649019193797_620844572904693,commento,2022-09-06T20:10:20+0000,positivo
mare,364649019193797_4836122963155772,commento,2022-09-06T13:21:27+0000,positivo
mare,364649019193797_621741512642473,sottocommento,2022-09-06T18:30:14+0000,neutrale
mare,364649019193797_519100850019191,sottocommento,2022-09-06T18:39:04+0000,neutrale
mare,364649019193797_813297350024358,sottocommento,2022-09-06T19:36:28+0000,negativo
qualità dell'aria,405353439582567_364009145924451,post,2022-09-05T07:00:08+0000,neutrale
acqua,405353439582567_364009145924451,post,2022-09-05T07:00:08+0000,neutrale
acqua,364009145924451_461070049276020,commento,2022-09-05T11:01:16+0000,neutrale
sport,405353439582567_362748386050527,post,2022-09-03T11:00:04+0000,neutrale
qualità dell'aria,405353439582567_361964279462271,post,2022-09-02T07:00:09+0000,positivo
qualità dell'aria,405353439582567_361292652862767,post,2022-09-01T07:00:06+0000,positivo
acqua,405353439582567_360758569582842,post,2022-08-31T12:30:02+0000,positivo
qualità dell'aria,405353439582567_360609022931130,post,2022-08-31T07:00:04+0000,neutrale
qualità dell'aria,405353439582567_359923699666329,post,2022-08-30T07:00:06+0000,neutrale
verde,359923699666329_798197124703729,commento,2022-08-31T19:44:14+0000,neutrale
qualità dell'aria,405353439582567_359188486406517,post,2022-08-29T07:04:55+0000,neutrale
qualità dell'aria,405353439582567_357091119949587,post,2022-08-26T07:00:06+0000,positivo
qualità dell'aria,405353439582567_356444873347545,post,2022-08-25T07:01:20+0000,neutrale
sport,405353439582567_355899440068755,post,2022-08-24T10:12:34+0000,neutrale
benessere,405353439582567_355899440068755,post,2022-08-24T10:12:34+0000,neutrale
qualità dell'aria,405353439582567_355800803411952,post,2022-08-24T07:02:57+0000,neutrale
mare,405353439582567_355212456804120,post,2022-08-23T09:00:09+0000,neutrale
qualità dell'aria,405353439582567_355164153475617,post,2022-08-23T07:00:16+0000,neutrale
acqua,405353439582567_355164153475617,post,2022-08-23T07:00:16+0000,neutrale
mare,405353439582567_354469166878449,post,2022-08-22T09:20:03+0000,neutrale
qualità dell'aria,405353439582567_354413763550656,post,2022-08-22T07:00:01+0000,positivo
qualità dell'aria,405353439582567_352479123744120,post,2022-08-19T07:00:04+0000,positivo
qualità dell'aria,405353439582567_351837607141605,post,2022-08-18T07:00:04+0000,positivo
passeggiata,405353439582567_351837607141605,post,2022-08-18T07:00:04+0000,positivo
